Rat_ID,Group,Intervention,Recording_Time_Point,Phase,Zeitgeber_Time,Sleep
6,VC,NPR,BL,LIGHT,6,2820
6,VC,NPR,BL,LIGHT,7,3430
6,VC,NPR,BL,LIGHT,8,3110
6,VC,NPR,BL,LIGHT,9,2480
6,VC,NPR,BL,LIGHT,10,3180
6,VC,NPR,BL,LIGHT,11,3100
6,VC,NPR,BL,LIGHT,12,1630
6,VC,NPR,BL,DARK,13,1080
6,VC,NPR,BL,DARK,14,1650
6,VC,NPR,BL,DARK,15,1290
6,VC,NPR,BL,DARK,16,730
6,VC,NPR,BL,DARK,17,2370
6,VC,NPR,BL,DARK,18,1270
6,VC,NPR,BL,DARK,19,2410
6,VC,NPR,BL,DARK,20,2090
6,VC,NPR,BL,DARK,21,760
6,VC,NPR,BL,DARK,22,1800
6,VC,NPR,BL,DARK,23,1340
6,VC,NPR,BL,DARK,24,3040
7,VC,NPR,BL,LIGHT,1,2870
7,VC,NPR,BL,LIGHT,2,3260
7,VC,NPR,BL,LIGHT,3,3130
7,VC,NPR,BL,LIGHT,4,3020
7,VC,NPR,BL,LIGHT,5,2960
7,VC,NPR,BL,LIGHT,6,3320
7,VC,NPR,BL,LIGHT,7,2780
7,VC,NPR,BL,LIGHT,8,2210
7,VC,NPR,BL,LIGHT,9,3060
7,VC,NPR,BL,LIGHT,10,2390
7,VC,NPR,BL,LIGHT,11,3300
7,VC,NPR,BL,LIGHT,12,1880
7,VC,NPR,BL,DARK,13,390
7,VC,NPR,BL,DARK,14,1780
7,VC,NPR,BL,DARK,15,1320
7,VC,NPR,BL,DARK,16,1470
7,VC,NPR,BL,DARK,17,1740
7,VC,NPR,BL,DARK,18,1630
7,VC,NPR,BL,DARK,19,1270
7,VC,NPR,BL,DARK,20,2550
7,VC,NPR,BL,DARK,21,2340
7,VC,NPR,BL,DARK,22,1740
7,VC,NPR,BL,DARK,23,1150
7,VC,NPR,BL,DARK,24,2080
8,VC,NPR,BL,LIGHT,1,3210
8,VC,NPR,BL,LIGHT,2,3410
8,VC,NPR,BL,LIGHT,3,2990
8,VC,NPR,BL,LIGHT,4,1740
8,VC,NPR,BL,LIGHT,5,3370
8,VC,NPR,BL,LIGHT,6,3210
8,VC,NPR,BL,LIGHT,7,3320
8,VC,NPR,BL,LIGHT,8,3180
8,VC,NPR,BL,LIGHT,9,3110
8,VC,NPR,BL,LIGHT,10,2170
8,VC,NPR,BL,LIGHT,11,3350
8,VC,NPR,BL,LIGHT,12,1890
8,VC,NPR,BL,DARK,13,1160
8,VC,NPR,BL,DARK,14,1740
8,VC,NPR,BL,DARK,15,1530
8,VC,NPR,BL,DARK,16,1450
8,VC,NPR,BL,DARK,17,830
8,VC,NPR,BL,DARK,18,1020
8,VC,NPR,BL,DARK,19,2460
8,VC,NPR,BL,DARK,20,2020
8,VC,NPR,BL,DARK,21,1350
8,VC,NPR,BL,DARK,22,580
8,VC,NPR,BL,DARK,23,1590
8,VC,NPR,BL,DARK,24,1600
9,VC,NPR,BL,LIGHT,1,2770
9,VC,NPR,BL,LIGHT,2,2550
9,VC,NPR,BL,LIGHT,3,2750
9,VC,NPR,BL,LIGHT,4,3150
9,VC,NPR,BL,LIGHT,5,3000
9,VC,NPR,BL,LIGHT,6,3090
9,VC,NPR,BL,LIGHT,7,2360
9,VC,NPR,BL,LIGHT,8,3140
9,VC,NPR,BL,LIGHT,9,3020
9,VC,NPR,BL,LIGHT,10,2790
9,VC,NPR,BL,LIGHT,11,2800
9,VC,NPR,BL,LIGHT,12,2750
9,VC,NPR,BL,DARK,13,1710
9,VC,NPR,BL,DARK,14,1700
9,VC,NPR,BL,DARK,15,1780
9,VC,NPR,BL,DARK,16,1170
9,VC,NPR,BL,DARK,17,1570
9,VC,NPR,BL,DARK,18,1780
9,VC,NPR,BL,DARK,19,1410
9,VC,NPR,BL,DARK,20,1400
9,VC,NPR,BL,DARK,21,1550
9,VC,NPR,BL,DARK,22,1050
9,VC,NPR,BL,DARK,23,1270
9,VC,NPR,BL,DARK,24,1470
10,VC,NPR,BL,LIGHT,1,2810
10,VC,NPR,BL,LIGHT,2,3010
10,VC,NPR,BL,LIGHT,3,3240
10,VC,NPR,BL,LIGHT,4,1330
10,VC,NPR,BL,LIGHT,5,3080
10,VC,NPR,BL,LIGHT,6,2920
10,VC,NPR,BL,LIGHT,7,2850
10,VC,NPR,BL,LIGHT,8,1960
10,VC,NPR,BL,LIGHT,9,2960
10,VC,NPR,BL,LIGHT,10,2620
10,VC,NPR,BL,LIGHT,11,2430
10,VC,NPR,BL,LIGHT,12,1840
10,VC,NPR,BL,DARK,13,1090
10,VC,NPR,BL,DARK,14,2530
10,VC,NPR,BL,DARK,15,1350
10,VC,NPR,BL,DARK,16,1360
10,VC,NPR,BL,DARK,17,20
10,VC,NPR,BL,DARK,18,420
